rank,keyword,suggested_title,cluster,intent,action,demand_score,trend,sources,appearances,best_rank,monthly_searches,monthly_searches_raw,competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
1,gurobi software,آموزش gurobi software: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.087,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi | YouTube Autocomplete: gurobi
2,gurobi python,آموزش gurobi python: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,4,1,0.0,,,,0.0,0.0,0.0,0.0,0.29,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 4 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi | Google Search Autocomplete: gurobi python | YouTube Autocomplete: gurobi | YouTube Autocomplete: gurobi python
3,or tools google,آموزش or tools google: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.29,Google Colab: مزایا و معایب,local://_posts/2026-06-17-googlecolab.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: or tools | YouTube Autocomplete: or tools
4,or tools tutorial,آموزش or tools tutorial: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,4,1,0.0,,,,0.0,0.0,0.0,0.0,0.29,آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 4 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: or tools | Google Search Autocomplete: or tools tutorial | YouTube Autocomplete: or tools | YouTube Autocomplete: or tools tutorial
5,vehicle routing problem,آموزش vehicle routing problem: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.159,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vehicle routing problem | YouTube Autocomplete: vehicle routing problem
6,آموزش تحقیق در عملیات 1,آموزش تحقیق در عملیات 1,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.298,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 4؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: آموزش تحقیق در عملیات | YouTube Autocomplete: آموزش تحقیق در عملیات
7,بهینه سازی,آموزش بهینه سازی: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,100.0,جدید امروز,Google Search، YouTube,12,1,0.0,,,,0.0,0.0,0.0,0.0,0.616,دوره مدل‌سازی مسائل بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 12 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی | YouTube Autocomplete: بهینه سازی | YouTube Autocomplete: بهینه سازی در پایتون | YouTube Autocomplete: بهینه سازی سیستم قدرت ع | YouTube Autocomplete: بهینه سازی ع | YouTube Autocomplete: بهینه سازی فازی | YouTube Autocomplete: بهینه سازی فازی مثال | YouTube Autocomplete: بهینه سازی فازی نرم افزار | YouTube Autocomplete: بهینه سازی مقاوم | YouTube Autocomplete: بهینه سازی مقاوم خطا | YouTube Autocomplete: بهینه سازی مقاوم در پایتون | YouTube Autocomplete: بهینه سازی چگونه
8,تحقیق در عملیات,آموزش تحقیق در عملیات: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,4,1,0.0,,,,0.0,0.0,0.0,0.0,0.121,Google Colab: مزایا و معایب,local://_posts/2026-06-17-googlecolab.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 4 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: تحقیق در عملیات | YouTube Autocomplete: تحقیق در عملیات | YouTube Autocomplete: تحقیق در عملیات در پایتون | YouTube Autocomplete: تحقیق در عملیات چگونه
9,google or tools tutorial,آموزش google or tools tutorial: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.315,Google Colab: مزایا و معایب,local://_posts/2026-06-17-googlecolab.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: or tools tutorial | YouTube Autocomplete: or tools tutorial
10,unit commitment problem,آموزش unit commitment problem: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,99.2,جدید امروز,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.472,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 4؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
