rank,keyword,suggested_title,suggested_slug,cluster,intent,funnel,coverage_action,opportunity_score,demand_score,gap_score,business_fit_score,confidence,trend,sources,monthly_searches,monthly_searches_raw,keyword_planner_competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,gsc_page,stack_views,stack_questions,serp_competition_score,serp_exact_titles,serp_strong_domains,serp_user_domain_rank,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
1,pyomo install ipopt,pyomo install ipopt: راهنمای کامل نصب و تست اجرا,pyomo-install-ipopt,Pyomo و Solverها,خطا و نصب,بررسی راه‌حل,محتوای جدید,48.4,14.1,67.5,100.0,کم,تکرار مشاهده,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.2548,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,local://_posts/2026-07-18-EV-solar.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Bing: Pyomo IPOPT
2,pyomo ipopt example,آموزش pyomo ipopt example با Python/Pyomo؛ از مدل تا کد,pyomo-ipopt-example,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,47.6,17.7,59.599999999999994,100.0,کم,تکرار مشاهده,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.3342,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,local://_posts/2026-07-18-EV-solar.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Google Search: Pyomo IPOPT
3,"['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای']","آموزش ['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای'] با مثال عملی",برنامه-برنامه-ریزی-روزانه-شرکت-سیستم-های-رایانه-ای,زنجیره تأمین و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,47.5,11.7,68.5,100.0,کم,تکرار مشاهده,DuckDuckGo,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.315,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,DuckDuckGo: برنامه ریزی تولید و توزیع یکپارچه
4,"['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']","['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']: راهنمای کامل نصب و تست اجرا",pyomo-glpk-pyomo-install-glpk-glpk-solver-for-pyomo,Pyomo و Solverها,خطا و نصب,بررسی راه‌حل,محتوای جدید,47.3,11.7,67.8,100.0,کم,تکرار مشاهده,DuckDuckGo,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.2521,Solver خوب بدون رنگ برای Pyomo؟ سه راهکار عملی,local://_posts/2026-06-19-pyomosolvers.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,DuckDuckGo: Pyomo GLPK
5,highs solver pyomo,آموزش highs solver pyomo با Python/Pyomo؛ از مدل تا کد,highs-solver-pyomo,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,46.9,14.1,62.900000000000006,100.0,کم,تکرار مشاهده,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.3012,Solver خوب بدون رنگ برای Pyomo؟ سه راهکار عملی,local://_posts/2026-06-19-pyomosolvers.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Bing: Pyomo HiGHS
6,برنامه ریزی تولید مهندسی صنایع,آموزش برنامه ریزی تولید مهندسی صنایع با مثال عملی,برنامه-ریزی-تولید-مهندسی-صنایع,زنجیره تأمین و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,46.8,18.0,56.7,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.3631,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,local://_posts/2026-06-20-Advanced-Power-System-Course.md,True,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,YouTube: انتخاب تامین کننده با مدل سازی ریاضی | YouTube: برنامه ریزی تولید و توزیع یکپارچه
7,برنامه ریزی بلند مدت,آموزش برنامه ریزی بلند مدت با مثال عملی,برنامه-ریزی-بلند-مدت,زنجیره تأمین و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,45.8,15.5,57.5,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.4248,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: برنامه ریزی تولید با Pyomo
8,pyomo highspy,آموزش pyomo highspy با Python/Pyomo؛ از مدل تا کد,pyomo-highspy,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,45.7,14.6,58.5,100.0,کم,تکرار مشاهده,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.3449,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,local://_posts/2026-07-18-EV-solar.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Bing: Pyomo HiGHS
9,['cbc solver for pyomo'],آموزش ['cbc solver for pyomo'] با Python/Pyomo؛ از مدل تا کد,cbc-solver-for-pyomo,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,45.6,11.7,62.599999999999994,100.0,کم,تکرار مشاهده,DuckDuckGo,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.3043,Solver خوب بدون رنگ برای Pyomo؟ سه راهکار عملی,local://_posts/2026-06-19-pyomosolvers.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,DuckDuckGo: how to pyomo cbc solver | DuckDuckGo: pyomo cbc solver
10,برنامه ریزی خطی عدد صحیح,آموزش برنامه ریزی خطی عدد صحیح با Python/Pyomo؛ از مدل تا کد,برنامه-ریزی-خطی-عدد-صحیح,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,45.3,14.5,57.3,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.3573,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,local://_posts/2026-06-20-Advanced-Power-System-Course.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,YouTube: برنامه ریزی عدد صحیح در پایتون
