rank,keyword,suggested_title,course,course_url,intent,content_type,action,priority_score,sources,impressions,clicks,ctr,position,closest_title,closest_url,similarity,last_suggested,history_penalty,reason
1,آموزش تفاوت بهینه سازی مقاوم و تصادفی,آموزش تفاوت بهینه سازی مقاوم و تصادفی,مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,64.0,Seed/Content Gap,0.0,0.0,0.0,0.0,دوره‌های تخصصی بهینه‌سازی,https://optimizationexpert.github.io/,0.328,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
2,Dynamic Economic Dispatch در پایتون,آموزش Dynamic Economic Dispatch در پایتون با Pyomo؛ مدل، کد و مثال,بهینه‌سازی مقدماتی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت | ۸ ساعت پروژه‌محور,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,0.225,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
3,Multi Depot VRP در پایتون,آموزش Multi Depot VRP در پایتون با OR-Tools؛ مدل و کد کامل,مسیریابی وسایل نقلیه در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,0.359,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
4,OR-Tools VRP فارسی,آموزش OR-Tools VRP فارسی با مثال و کد کامل,مسیریابی وسایل نقلیه در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,0.3,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
5,Split Delivery VRP در پایتون,آموزش Split Delivery VRP در پایتون با OR-Tools؛ مدل و کد کامل,مسیریابی وسایل نقلیه در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,0.354,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
6,stochastic optimization با Pyomo,آموزش stochastic optimization با Pyomo با مثال و کد کامل,مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.224,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
7,Time Dependent VRP با OR-Tools,آموزش Time Dependent VRP با OR-Tools با مثال و کد کامل,مسیریابی وسایل نقلیه در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,وقتی فاصله‌ها به زمان وابسته‌اند — مسئله‌ای سخت‌تر از آن‌چه فکر می‌کنی,https://optimizationexpert.github.io/posts/2026/06/19/time-dependent-vrp/,0.338,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
8,آرایش بهینه واحدها در پایتون,آموزش آرایش بهینه واحدها در پایتون با Pyomo؛ مدل، کد و مثال,بهینه‌سازی مقدماتی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.284,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
9,آموزش AC OPF با Pyomo,آموزش AC OPF با Pyomo,بهینه‌سازی پیشرفته سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.3,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
10,آموزش CVRP با OR-Tools,آموزش CVRP با OR-Tools,مسیریابی وسایل نقلیه در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,0.225,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
