rank,keyword,opportunity_score,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,coverage_action,reason
1,mixed integer linear programming python,11.4,55.4,Google Search، YouTube، Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search، YouTube، Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
2,برنامه ریزی حرفه ای,9.8,14.5,YouTube,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
3,['glpk solver for pyomo'],7.9,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
4,mixed integer quadratic programming python,2.2,36.2,Google Search، Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search، Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
5,pyomo glpk solver options,0.0,28.0,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
6,برنامه ریزی غیر خطی,0.0,26.5,YouTube,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-02,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_latest/,قبلاً صفحه متمرکز دارد,سیگنال در YouTube؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-02»
7,pyomo glpk install,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
8,pyomo highs solver,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
9,pyomo ipopt install,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
10,pyomo ipopt example,0.0,22.7,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
11,pip install pyomo glpk,0.0,21.5,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
12,what is linear and mixed integer programming,0.0,21.1,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
13,what is mixed integer programming,0.0,20.6,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
14,برنامه برنامه ریزی روزانه,0.0,20.0,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
15,برنامه ریزی خطی,0.0,20.0,YouTube,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-02,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_latest/,قبلاً صفحه متمرکز دارد,سیگنال در YouTube؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-02»
16,mixed integer nonlinear programming,0.0,19.8,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
17,python mixed integer programming solver,0.0,19.6,Google Search,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
18,mixed integer linear program,0.0,18.2,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
19,"['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']",0.0,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
20,"['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای']",0.0,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
21,mixed integer convex programming,0.0,16.4,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
