rank,keyword,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,reason
1,optimal power flow,100.0,Google Search، YouTube,0.0,0.0,0.96,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
2,optimal power flow in power system,88.8,Google Search، YouTube,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 8؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
3,optimal power flow digsilent,79.8,Google Search، YouTube,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 10؛ پیشنهاد YouTube؛ بهترین جایگاه 5؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
4,پخش بار بهینه چیست,63.3,Google Search,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
5,پخش بار اقتصادی چیست,61.5,Google Search,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
6,بهینه سازی سیستم های قدرت,60.1,Google Search,0.0,0.0,0.96,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
7,optimal power flow problem,58.3,Google Search,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
8,آموزش بهینه سازی در پایتون,58.3,Google Search,0.0,0.0,0.88,آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ نزدیک به صفحه «آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python»
9,بهینه سازی سیستم های قدرت الکتریکی,58.3,Google Search,0.0,0.0,0.78,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ نزدیک به صفحه «بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo»
10,optimal power flow powerworld,41.3,YouTube,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد YouTube؛ بهترین جایگاه 7؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
11,etap optimal power flow,37.7,YouTube,0.0,0.0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد YouTube؛ بهترین جایگاه 9؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
