rank,keyword,suggested_title,suggested_slug,cluster,intent,funnel,coverage_action,opportunity_score,demand_score,gap_score,business_fit_score,confidence,trend,sources,monthly_searches,monthly_searches_raw,keyword_planner_competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,gsc_page,stack_views,stack_questions,serp_competition_score,serp_exact_titles,serp_strong_domains,serp_user_domain_rank,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
1,دراگون وی پی اس,آموزش دراگون وی پی اس با Python/Pyomo؛ از مدل تا کد,دراگون-وی-پی-اس,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,60.2,26.7,85.5,100.0,متوسط,تکرار مشاهده,Bing، DuckDuckGo,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1455,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing، DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: نصب Pyomo و HiGHS در ویندوز | DuckDuckGo: نصب Pyomo و HiGHS در ویندوز
2,پتالوژی کلیه,آموزش پتالوژی کلیه با Python/Pyomo؛ از مدل تا کد,پتالوژی-کلیه,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,57.6,21.0,86.0,100.0,کم,جدید امروز,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.14,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت | ۸ ساعت پروژه‌محور,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: Pyomo CBC
3,ترکمنعالم ماهواره,آموزش ترکمنعالم ماهواره با Python/Pyomo؛ از مدل تا کد,ترکمنعالم-ماهواره,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,57.4,20.0,86.9,100.0,کم,جدید امروز,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1313,چرا قبل از کدنویسی باید مدل‌سازی ریاضی را یاد بگیریم؟,local://_posts/2026-06-18-modeling-before-coding.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: بازآرایی بهینه شبکه توزیع
4,گاباپنتین,آموزش گاباپنتین با Python/Pyomo؛ از مدل تا کد,گاباپنتین,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,56.0,17.0,87.1,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1286,Solver خوب بدون رنگ برای Pyomo؟ سه راهکار عملی,local://_posts/2026-06-19-pyomosolvers.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: Pyomo GLPK | YouTube: Pyomo CBC
5,توابع دو متغیره,آموزش توابع دو متغیره با Python/Pyomo؛ از مدل تا کد,توابع-دو-متغیره,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.7,15.5,88.3,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1171,Google Colab: مزایا و معایب,local://_posts/2026-06-17-googlecolab.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: تعریف متغیر تصمیم تابع هدف و قید
6,gurobi/cplex,آموزش gurobi/cplex با Python/Pyomo؛ از مدل تا کد,gurobi-cplex,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.7,15.0,89.1,100.0,کم,تکرار مشاهده,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1091,یادداشت‌ها,https://optimizationexpert.github.io/blog/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: مقایسه Gurobi و CPLEX و HiGHS
7,آموزش prompt engineering,آموزش prompt engineering,آموزش-prompt-engineering,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.7,13.7,91.1,100.0,کم,تکرار مشاهده,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0894,گزارش تقاضای جست‌وجو - 2026-07-30,local://seo_demand_output/demand_report_latest.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: آموزش Pyomo
8,مکان یابی شماره تلفن همراه,آموزش مکان یابی شماره تلفن همراه با مثال عملی,مکان-یابی-شماره-تلفن-همراه,زنجیره تأمین و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.6,16.0,87.3,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1273,پروژه آماده تحویل قدرت : جایابی بهینه ذخیره‌ساز انرژی برای کاهش هدر رفت تجدیدپذیرها,local://_posts/2026-06-20-ESSAllocation.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: مکان یابی تسهیلات در پایتون
9,آموزش کتابخانه requests در پایتون,آموزش کتابخانه requests در پایتون,آموزش-کتابخانه-requests-در-python,VRP، OR-Tools و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.5,17.5,84.6,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1538,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: آموزش CVRP در پایتون | YouTube: آموزش VRPTW در پایتون
10,آموزش numpy,آموزش numpy,آموزش-numpy,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.5,14.5,89.1,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1091,اجرای روزانه بات SEO با GitHub Actions,local://README_FA.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: آموزش Pyomo
